Sr_No,City,MinTemp_MaxTemp,MinTemp,MaxTemp,Rain,Activity_Id
127,Rio de Janeiro,-35 to 0,-35,0,Raining,A127
128,Rio de Janeiro,-35 to 0,-35,0,Not Raining,A128
129,Rio de Janeiro,-35 to 0,-35,0,May Rain,A129
130,Rio de Janeiro,1 to 5,1,5,Raining,A130
131,Rio de Janeiro,1 to 5,1,5,Not Raining,A131
132,Rio de Janeiro,1 to 5,1,5,May Rain,A132
133,Rio de Janeiro,6 to 20,6,20,Raining,A133
134,Rio de Janeiro,6 to 20,6,20,Not Raining,A134
135,Rio de Janeiro,6 to 20,6,20,May Rain,A135
136,Rio de Janeiro,21 to 27,21,27,Raining,A136
137,Rio de Janeiro,21 to 27,21,27,Not Raining,A137
138,Rio de Janeiro,21 to 27,21,27,May Rain,A138
139,Rio de Janeiro,28 to 35,28,35,Raining,A139
140,Rio de Janeiro,28 to 35,28,35,Not Raining,A140
141,Rio de Janeiro,28 to 35,28,35,May Rain,A141
142,Rio de Janeiro,36 to 50,36,50,Raining,A142
143,Rio de Janeiro,36 to 50,36,50,Not Raining,A143
144,Rio de Janeiro,36 to 50,36,50,May Rain,A144
145,Toronto,-35 to 0,-35,0,Raining,A145
146,Toronto,-35 to 0,-35,0,Not Raining,A146
147,Toronto,-35 to 0,-35,0,May Rain,A147
148,Toronto,1 to 5,1,5,Raining,A148
149,Toronto,1 to 5,1,5,Not Raining,A149
150,Toronto,1 to 5,1,5,May Rain,A150
151,Toronto,6 to 20,6,20,Raining,A151
152,Toronto,6 to 20,6,20,Not Raining,A152
153,Toronto,6 to 20,6,20,May Rain,A153
154,Toronto,21 to 27,21,27,Raining,A154
155,Toronto,21 to 27,21,27,Not Raining,A155
156,Toronto,21 to 27,21,27,May Rain,A156
157,Toronto,28 to 35,28,35,Raining,A157
158,Toronto,28 to 35,28,35,Not Raining,A158
159,Toronto,28 to 35,28,35,May Rain,A159
160,Toronto,36 to 50,36,50,Raining,A160
161,Toronto,36 to 50,36,50,Not Raining,A161
162,Toronto,36 to 50,36,50,May Rain,A162
163,Mumbai,-35 to 0,-35,0,Raining,A163
164,Mumbai,-35 to 0,-35,0,Not Raining,A164
165,Mumbai,-35 to 0,-35,0,May Rain,A165
166,Mumbai,1 to 5,1,5,Raining,A166
167,Mumbai,1 to 5,1,5,Not Raining,A167
168,Mumbai,1 to 5,1,5,May Rain,A168
169,Mumbai,6 to 20,6,20,Raining,A169
170,Mumbai,6 to 20,6,20,Not Raining,A170
171,Mumbai,6 to 20,6,20,May Rain,A171
172,Mumbai,21 to 27,21,27,Raining,A172
173,Mumbai,21 to 27,21,27,Not Raining,A173
174,Mumbai,21 to 27,21,27,May Rain,A174
175,Mumbai,28 to 35,28,35,Raining,A175
176,Mumbai,28 to 35,28,35,Not Raining,A176
177,Mumbai,28 to 35,28,35,May Rain,A177
178,Mumbai,36 to 50,36,50,Raining,A178
179,Mumbai,36 to 50,36,50,Not Raining,A179
180,Mumbai,36 to 50,36,50,May Rain,A180
